id,count
0,96.28
1,231.74
2,63.03
4,30.21
5,51.16
10,114.21
11,200.04
12,316.87
15,39.98
17,141.32
18,300.22
23,249.76
25,82.85
26,39.86
31,197.34
39,165.24
40,26.87
41,171.33
42,370.24
43,158.74
51,212.11
52,88.84
54,17.97
60,135.86
61,149.28
62,109.97
63,30.37
65,115.91
66,113.86
68,138.92
71,71.39
80,31.42
82,66.2
94,138.74
98,266.16
101,35.81
102,138.19
107,79.46
112,254.49
113,80.84
115,51.15
116,120.38
120,165.99
121,73.12
122,339.39
132,201.57
143,87.94
147,63.71
150,16.52
151,86.94
152,221.58
153,88.35
155,174.35
156,70.95
159,184.51
161,135.64
163,47.79
177,168.54
186,16.79
188,19.68
190,90.97
191,91.32
192,260.41
195,314.57
200,151.14
209,316.39
210,14.94
211,234.82
214,137.32
215,23.87
218,103.0
219,31.54
222,143.82
225,14.55
228,325.74
236,198.62
241,35.64
242,181.11
243,202.09
245,18.12
247,248.34
251,129.52
252,77.69
253,80.75
254,88.44
258,331.77
260,50.75
261,171.54
265,85.64
266,276.0
267,287.48
269,146.11
270,68.94
275,97.92
278,36.6
279,86.01
286,93.51
287,29.12
288,223.2
289,148.23
293,18.12
294,132.08
297,33.39
302,121.29
303,79.87
304,58.06
307,102.28
309,16.2
311,171.33
312,125.63
314,177.03
315,206.01
319,168.15
322,110.37
323,64.96
325,117.16
327,233.03
330,35.39
332,197.77
333,18.07
338,102.4
341,108.66
345,175.86
348,132.13
349,46.29
350,116.44
352,48.19
355,17.7
356,243.52
358,55.6
363,122.9
369,178.56
371,17.66
372,139.4
375,304.37
380,129.78
388,45.75
391,129.32
392,259.31
393,368.53
394,193.18
396,26.54
401,36.5
407,81.32
409,102.36
410,112.68
416,110.85
418,117.53
420,149.88
421,226.89
422,118.86
424,285.82
428,314.57
429,232.83
431,160.19
435,14.72
439,111.21
441,14.18
447,83.18
449,137.2
451,148.31
452,18.1
454,205.18
458,237.85
463,123.61
467,13.59
470,216.61
471,153.72
474,289.82
478,15.83
483,126.08
484,105.22
485,83.69
486,130.68
491,96.01
494,98.75
495,234.51
497,207.7
499,163.12
515,110.91
518,216.57
521,191.47
525,147.27
529,255.5
532,135.61
534,80.5
540,95.39
544,299.35
547,161.4
549,44.96
563,35.16
564,152.43
567,122.27
572,105.64
577,109.18
578,239.13
585,338.53
588,143.02
589,118.17
590,104.69
592,16.5
594,224.41
596,15.32
598,336.48
599,140.63
605,34.31
606,123.22
607,252.9
608,218.55
609,63.67
610,276.29
611,190.82
614,126.02
615,201.8
616,248.05
617,120.96
618,234.9
624,117.05
629,130.68
631,93.63
633,99.66
637,25.95
638,100.77
643,63.88
644,145.16
645,35.35
646,203.63
648,184.29
650,37.66
651,201.01
652,266.09
656,107.14
657,18.02
659,85.03
660,197.45
662,102.97
665,367.27
675,325.55
681,155.86
682,206.51
685,19.75
686,206.79
689,24.74
696,153.44
703,146.16
704,94.04
705,125.13
714,234.51
717,103.32
718,15.14
720,73.9
721,249.74
723,227.98
726,180.95
728,145.82
730,200.77
731,27.2
734,349.22
737,72.03
738,18.7
745,159.72
746,26.2
749,230.69
752,24.96
753,155.91
758,232.95
765,16.44
766,236.55
768,87.39
769,191.32
774,125.86
775,107.3
781,47.73
784,331.74
794,20.1
795,271.77
796,82.28
802,158.1
803,214.72
805,34.24
806,287.3
807,96.51
809,14.51
810,149.54
812,200.59
814,116.53
818,248.94
819,150.15
825,63.45
836,104.73
839,115.65
847,260.82
848,183.77
851,111.87
852,141.66
853,33.04
857,145.57
858,46.49
859,223.02
861,22.83
867,97.36
870,207.76
871,205.82
872,200.92
874,355.03
881,192.29
886,138.53
890,55.28
895,171.93
899,84.63
900,276.94
901,260.59
902,226.58
903,41.78
913,256.77
918,198.56
923,123.11
924,37.25
926,25.96
927,19.01
930,207.78
934,29.61
937,128.56
939,142.7
941,79.25
942,374.12
946,274.92
950,96.66
953,76.04
959,94.57
